seed,method,alpha,auc
42,Baseline,0.0,0.9287393186421137
42,GaussianCopula,0.1,0.9240633726043515
42,GaussianCopula,0.2,0.9222788948560213
42,GaussianCopula,0.3,0.9207454194005065
42,GaussianCopula,0.5,0.9186939003069319
42,GaussianCopula,1.0,0.9155517848328565
42,CTGAN,0.1,0.926067543941677
42,CTGAN,0.2,0.9253293924217549
42,CTGAN,0.3,0.9230424957949274
42,CTGAN,0.5,0.9224254953463074
42,CTGAN,1.0,0.9169158736903906
123,Baseline,0.0,0.9236517430484616
123,GaussianCopula,0.1,0.923532012409847
123,GaussianCopula,0.2,0.9210874477547103
123,GaussianCopula,0.3,0.9203214794279917
123,GaussianCopula,0.5,0.9179375790855491
123,GaussianCopula,1.0,0.9104146716492288
123,CTGAN,0.1,0.9227728503230891
123,CTGAN,0.2,0.9214485335808043
123,CTGAN,0.3,0.9196639374630836
123,CTGAN,0.5,0.9165091564642116
123,CTGAN,1.0,0.910516232586383
7,Baseline,0.0,0.933451426528711
7,GaussianCopula,0.1,0.9296498159947824
7,GaussianCopula,0.2,0.9296277401034312
7,GaussianCopula,0.3,0.9273737501671968
7,GaussianCopula,0.5,0.92552144675804
7,GaussianCopula,1.0,0.923516624389066
7,CTGAN,0.1,0.9315620735002894
7,CTGAN,0.2,0.930555223463654
7,CTGAN,0.3,0.930914415379498
7,CTGAN,0.5,0.9241832216123569
7,CTGAN,1.0,0.9170911195732073
2024,Baseline,0.0,0.9277579772091575
2024,GaussianCopula,0.1,0.9244226828895861
2024,GaussianCopula,0.2,0.9240146044154149
2024,GaussianCopula,0.3,0.9221482150487741
2024,GaussianCopula,0.5,0.919760053408269
2024,GaussianCopula,1.0,0.9140626387141296
2024,CTGAN,0.1,0.9247257085295799
2024,CTGAN,0.2,0.9216595862042842
2024,CTGAN,0.3,0.9217921599217815
2024,CTGAN,0.5,0.9179878268918683
2024,CTGAN,1.0,0.9041697393387649
999,Baseline,0.0,0.9271516891903888
999,GaussianCopula,0.1,0.9259453275458592
999,GaussianCopula,0.2,0.9235741519129085
999,GaussianCopula,0.3,0.9231884452535649
999,GaussianCopula,0.5,0.9205884615885409
999,GaussianCopula,1.0,0.9165678084972652
999,CTGAN,0.1,0.926917672905128
999,CTGAN,0.2,0.9226661995021384
999,CTGAN,0.3,0.9213312886993926
999,CTGAN,0.5,0.9201278862896285
999,CTGAN,1.0,0.9153210828905333
