seed,method,alpha,auc
42,Baseline,0.0,0.7982142857142858
42,GaussianCopula,0.1,0.7883333333333333
42,GaussianCopula,0.2,0.7796428571428571
42,GaussianCopula,0.3,0.7753571428571429
42,GaussianCopula,0.5,0.7744047619047619
42,GaussianCopula,1.0,0.7544047619047619
42,CTGAN,0.1,0.8127380952380953
42,CTGAN,0.2,0.7961904761904763
42,CTGAN,0.3,0.7858333333333333
42,CTGAN,0.5,0.7703571428571429
42,CTGAN,1.0,0.7334523809523809
123,Baseline,0.0,0.8036904761904762
123,GaussianCopula,0.1,0.7857142857142857
123,GaussianCopula,0.2,0.7748809523809523
123,GaussianCopula,0.3,0.7832142857142856
123,GaussianCopula,0.5,0.7677380952380952
123,GaussianCopula,1.0,0.7503571428571428
123,CTGAN,0.1,0.7719047619047619
123,CTGAN,0.2,0.7989285714285714
123,CTGAN,0.3,0.7755952380952381
123,CTGAN,0.5,0.738095238095238
123,CTGAN,1.0,0.7616666666666667
7,Baseline,0.0,0.840952380952381
7,GaussianCopula,0.1,0.823452380952381
7,GaussianCopula,0.2,0.8267857142857143
7,GaussianCopula,0.3,0.8479761904761905
7,GaussianCopula,0.5,0.8295238095238094
7,GaussianCopula,1.0,0.8083333333333332
7,CTGAN,0.1,0.8404761904761905
7,CTGAN,0.2,0.8160714285714284
7,CTGAN,0.3,0.830595238095238
7,CTGAN,0.5,0.818452380952381
7,CTGAN,1.0,0.8283333333333334
2024,Baseline,0.0,0.7869047619047618
2024,GaussianCopula,0.1,0.8021428571428572
2024,GaussianCopula,0.2,0.8003571428571429
2024,GaussianCopula,0.3,0.7846428571428572
2024,GaussianCopula,0.5,0.7601190476190477
2024,GaussianCopula,1.0,0.7511904761904762
2024,CTGAN,0.1,0.799404761904762
2024,CTGAN,0.2,0.7995238095238096
2024,CTGAN,0.3,0.7775
2024,CTGAN,0.5,0.7735714285714286
2024,CTGAN,1.0,0.7815476190476192
999,Baseline,0.0,0.7421428571428572
999,GaussianCopula,0.1,0.7498809523809523
999,GaussianCopula,0.2,0.7405952380952381
999,GaussianCopula,0.3,0.733452380952381
999,GaussianCopula,0.5,0.7144047619047619
999,GaussianCopula,1.0,0.7411904761904762
999,CTGAN,0.1,0.7608333333333334
999,CTGAN,0.2,0.7464285714285714
999,CTGAN,0.3,0.7511904761904762
999,CTGAN,0.5,0.7223809523809523
999,CTGAN,1.0,0.7424999999999999
