n,seed,method,auc
50,42,Baseline,0.7072486772486772
50,42,GaussianCopula,0.6744973544973545
50,42,CTGAN,0.6213756613756614
50,42,GReaT,0.7072486772486772
50,123,Baseline,0.5928042328042328
50,123,GaussianCopula,0.6181481481481481
50,123,CTGAN,0.7012169312169312
50,123,GReaT,0.5928042328042328
50,7,Baseline,0.7111640211640213
50,7,GaussianCopula,0.6682010582010582
50,7,CTGAN,0.692063492063492
50,7,GReaT,0.7111640211640213
50,2024,Baseline,0.653994708994709
50,2024,GaussianCopula,0.6626984126984127
50,2024,CTGAN,0.6723280423280424
50,2024,GReaT,0.653994708994709
50,999,Baseline,0.6150529100529101
50,999,GaussianCopula,0.6063492063492064
50,999,CTGAN,0.6270370370370371
50,999,GReaT,0.6150529100529101
100,42,Baseline,0.6824338624338624
100,42,GaussianCopula,0.6318518518518518
100,42,CTGAN,0.6915873015873016
100,42,GReaT,0.6824338624338624
100,123,Baseline,0.6801058201058201
100,123,GaussianCopula,0.6723809523809524
100,123,CTGAN,0.7040740740740742
100,123,GReaT,0.6801058201058201
100,7,Baseline,0.7086243386243387
100,7,GaussianCopula,0.6719576719576719
100,7,CTGAN,0.6665079365079365
100,7,GReaT,0.7086243386243387
100,2024,Baseline,0.6971428571428572
100,2024,GaussianCopula,0.6883068783068784
100,2024,CTGAN,0.7328571428571429
100,2024,GReaT,0.6971428571428572
100,999,Baseline,0.6665608465608466
100,999,GaussianCopula,0.5757142857142857
100,999,CTGAN,0.704021164021164
100,999,GReaT,0.6665608465608466
200,42,Baseline,0.7215873015873016
200,42,GaussianCopula,0.6788888888888889
200,42,CTGAN,0.668941798941799
200,42,GReaT,0.7215873015873016
200,123,Baseline,0.7678835978835978
200,123,GaussianCopula,0.6951322751322752
200,123,CTGAN,0.7287301587301588
200,123,GReaT,0.7678835978835978
200,7,Baseline,0.7125396825396826
200,7,GaussianCopula,0.7031746031746032
200,7,CTGAN,0.6590476190476191
200,7,GReaT,0.7125396825396826
200,2024,Baseline,0.7412169312169311
200,2024,GaussianCopula,0.7046560846560846
200,2024,CTGAN,0.7259259259259259
200,2024,GReaT,0.7412169312169311
200,999,Baseline,0.6907407407407408
200,999,GaussianCopula,0.6582010582010582
200,999,CTGAN,0.6397354497354497
200,999,GReaT,0.6907407407407408
