n,seed,method,auc,error
50,42,Baseline,0.4960141271442987,
50,42,GReaT,0.5561783832268191,
50,123,Baseline,0.49364278506559034,
50,123,GReaT,0.5394567776656577,
50,7,Baseline,0.4994057629779123,
50,7,GReaT,0.5142263706693575,
50,2024,Baseline,0.4928859737638749,
50,2024,GReaT,0.5148049108644467,
50,999,Baseline,0.48665937885413163,
50,999,GReaT,0.4565237134207871,
100,42,Baseline,0.4675423253727996,
100,42,GReaT,0.5105303285121651,
100,123,Baseline,0.49455095862764886,
100,123,GReaT,0.563929812759278,
100,7,Baseline,0.4925910976566879,
100,7,GReaT,0.4611968830586388,
100,2024,Baseline,0.4646726090368875,
100,2024,GReaT,0.5017989684942259,
100,999,Baseline,0.5226942482341069,
100,999,GReaT,0.46206917815898646,
200,42,Baseline,0.48208823859177036,
200,42,GReaT,0.439297006390851,
200,123,Baseline,0.4972115708039018,
200,123,GReaT,0.4289926000672721,
200,7,Baseline,0.49796726090368876,
200,7,GReaT,0.5619161340957507,
200,2024,Baseline,0.4638642224464626,
200,2024,GReaT,0.466079717457114,
200,999,Baseline,0.5230877901109989,
200,999,GReaT,0.5878472922973427,
500,42,Baseline,0.43540643569906945,
500,42,GReaT,0.4658835071196322,
500,123,Baseline,0.5162484583473483,
500,123,GReaT,0.4991888104047539,
500,7,Baseline,0.521916694696715,
500,7,GReaT,0.4467075905370557,
500,2024,Baseline,0.49760399147886536,
500,2024,GReaT,0.545275815674403,
500,999,Baseline,0.5909608700526966,
500,999,GReaT,0.6039432671824196,
1000,42,Baseline,0.44376835968157874,
1000,42,GReaT,0.3974739320551631,
1000,123,Baseline,0.5921101020293755,
1000,123,GReaT,0.5055695705796615,
1000,7,Baseline,0.48175860522480096,
1000,7,GReaT,0.4671633591209777,
1000,2024,Baseline,0.5319873304182083,
1000,2024,GReaT,0.5514973651754681,
1000,999,Baseline,0.5302533916358336,
1000,999,GReaT,0.4599080614418657,
2000,42,Baseline,0.46651866801210895,
2000,42,GReaT,0.41832268191501293,
2000,123,Baseline,0.5047690324027357,
2000,123,GReaT,0.43848637739656915,
2000,7,Baseline,0.5616829240946294,
2000,7,GReaT,0.47228108532346674,
2000,2024,Baseline,0.5852539522367979,
2000,2024,GReaT,0.507943715663191,
2000,999,Baseline,0.554143401726651,
2000,999,GReaT,0.49207814777441417,
