seed,method,condition,alpha,auc_roc,f1_minority,avg_precision
42,Baseline,real_only,0.0,0.6189059220489386,0.0,0.013636204915036027
42,GaussianCopula,augmented,0.1,0.5809266983713701,0.0,0.013563401765783918
42,GaussianCopula,augmented,0.2,0.560030819097213,0.0,0.012358737342430795
42,GaussianCopula,augmented,0.3,0.5753075267674486,0.0,0.014240456066710339
42,GaussianCopula,augmented,0.5,0.5597252849438082,0.0,0.012359409696296533
42,GaussianCopula,augmented,1.0,0.5709901963389038,0.0,0.012318091416260214
42,CTGAN,augmented,0.1,0.6100055793193231,0.0,0.016819775746781482
42,CTGAN,augmented,0.2,0.6004277478147666,0.0,0.013715687572995964
42,CTGAN,augmented,0.3,0.6559419750790404,0.0,0.019456883028605085
42,CTGAN,augmented,0.5,0.6507744626584129,0.0,0.029493526205737013
42,CTGAN,augmented,1.0,0.6854326629294083,0.0,0.024121187619452585
42,SMOTE,augmented,0.1,0.6487021440527112,0.0,0.021189425016898307
42,SMOTE,augmented,0.2,0.6831345147320598,0.04,0.022078181324067282
42,SMOTE,augmented,0.3,0.6834001966045856,0.05333333333333334,0.02311615897668476
42,SMOTE,augmented,0.5,0.6695980233268684,0.03418803418803419,0.018820831995309754
42,SMOTE,augmented,1.0,0.6753633199606791,0.03508771929824561,0.0190611473275229
123,Baseline,real_only,0.0,0.5465579100796053,0.06060606060606061,0.022175405417682606
123,GaussianCopula,augmented,0.1,0.6368286803453302,0.0,0.02015406174252707
123,GaussianCopula,augmented,0.2,0.622435250588631,0.0,0.023273002295458384
123,GaussianCopula,augmented,0.3,0.5210225361587623,0.0,0.01856006473405037
123,GaussianCopula,augmented,0.5,0.5481135777553537,0.06451612903225806,0.01945956597420142
123,GaussianCopula,augmented,1.0,0.5626051126807938,0.0,0.01990489336016696
123,CTGAN,augmented,0.1,0.562142616885301,0.0,0.01631892554911505
123,CTGAN,augmented,0.2,0.5180933961206413,0.0,0.011961709132160511
123,CTGAN,augmented,0.3,0.6070327390963113,0.0,0.01573492302082595
123,CTGAN,augmented,0.5,0.622519340733266,0.0,0.02746824072686027
123,CTGAN,augmented,1.0,0.6120220876779908,0.0,0.017766727712406387
123,SMOTE,augmented,0.1,0.5777833837874201,0.06896551724137931,0.02523366858029031
123,SMOTE,augmented,0.2,0.5614558807041148,0.045454545454545456,0.02194424652628324
123,SMOTE,augmented,0.3,0.5691781589864334,0.027777777777777776,0.01776249720503878
123,SMOTE,augmented,0.5,0.5579240946294428,0.032520325203252036,0.01931074464391334
123,SMOTE,augmented,1.0,0.5439931606682364,0.035555555555555556,0.01926746708390965
7,Baseline,real_only,0.0,0.6195996874712749,0.0,0.016951142268389435
7,GaussianCopula,augmented,0.1,0.615176027208383,0.0,0.0168167414115247
7,GaussianCopula,augmented,0.2,0.5788905230260134,0.0,0.015426736869877538
7,GaussianCopula,augmented,0.3,0.6044328522842173,0.0,0.015802308096712302
7,GaussianCopula,augmented,0.5,0.559472377975917,0.0,0.014428253240063037
7,GaussianCopula,augmented,1.0,0.56985936207372,0.0,0.013491270557602896
7,CTGAN,augmented,0.1,0.6010547844470998,0.0,0.01818405983852245
7,CTGAN,augmented,0.2,0.6450500965162239,0.0,0.01970571795822203
7,CTGAN,augmented,0.3,0.5891740968839048,0.0,0.01603394000603316
7,CTGAN,augmented,0.5,0.6166582406471184,0.0,0.019307402299940386
7,CTGAN,augmented,1.0,0.6227709348285688,0.0,0.017550661203886812
7,SMOTE,augmented,0.1,0.6494852468057726,0.0,0.0162490434609839
7,SMOTE,augmented,0.2,0.6182553543524221,0.0,0.014787759197655476
7,SMOTE,augmented,0.3,0.6178187333394614,0.02247191011235955,0.015479730337526436
7,SMOTE,augmented,0.5,0.6121311701443147,0.013793103448275862,0.015347291582938554
7,SMOTE,augmented,1.0,0.6127746116370991,0.02510460251046025,0.015228471609481053
2024,Baseline,real_only,0.0,0.45032778618255176,0.0,0.007780097148912483
2024,GaussianCopula,augmented,0.1,0.49414137818516213,0.0,0.008573779907770598
2024,GaussianCopula,augmented,0.2,0.4488445907863902,0.0,0.007554707450457716
2024,GaussianCopula,augmented,0.3,0.41913618700127553,0.0,0.0071256414504139295
2024,GaussianCopula,augmented,0.5,0.4380469283023345,0.0,0.007483433329217753
2024,GaussianCopula,augmented,1.0,0.43442793153570053,0.0,0.007884896199200863
2024,CTGAN,augmented,0.1,0.3955385482483463,0.0,0.006907740261793176
2024,CTGAN,augmented,0.2,0.42386758031503075,0.0,0.007355337876576817
2024,CTGAN,augmented,0.3,0.4779597164130403,0.0,0.010149399313372002
2024,CTGAN,augmented,0.5,0.3640058141259529,0.0,0.006467503472822475
2024,CTGAN,augmented,1.0,0.579959063807066,0.0,0.010325070189335619
2024,SMOTE,augmented,0.1,0.6591320340541663,0.0,0.014069351023239775
2024,SMOTE,augmented,0.2,0.6221411408738988,0.0,0.012782768205062392
2024,SMOTE,augmented,0.3,0.6406810833259173,0.02531645569620253,0.013770230497970975
