seed,method,condition,alpha,classifier,auc_roc,f1_minority,avg_precision
42,Baseline,real_only,0.0,GBC,0.7476691729323308,0.0,0.0147402353257353
42,Baseline,real_only,0.0,LR,0.9275187969924812,0.0,0.0350135490724538
42,Baseline,real_only,0.0,RF,0.6593483709273182,0.0,0.0071012534273403
42,Baseline,real_only,0.0,MLP,0.5337343358395991,0.0,0.0083451450600938
42,GaussianCopula,augmented,0.1,GBC,0.8775438596491228,0.0,0.0152312771480027
42,GaussianCopula,augmented,0.1,LR,0.9247117794486216,0.0,0.039394107269143
42,GaussianCopula,augmented,0.1,RF,0.57062656641604,0.0,0.0074054054054054
42,GaussianCopula,augmented,0.1,MLP,0.5447619047619047,0.0,0.0091065611897941
42,GaussianCopula,augmented,0.2,GBC,0.8821553884711778,0.0,0.0129750218363704
42,GaussianCopula,augmented,0.2,LR,0.9101754385964912,0.0,0.040684682888821
42,GaussianCopula,augmented,0.2,RF,0.5685213032581453,0.0,0.007
42,GaussianCopula,augmented,0.2,MLP,0.5562907268170426,0.0,0.0102181945925413
42,GaussianCopula,augmented,0.3,GBC,0.7404010025062656,0.0,0.0119651914660137
42,GaussianCopula,augmented,0.3,LR,0.9246115288220552,0.0,0.0394438872420887
42,GaussianCopula,augmented,0.3,RF,0.6630576441102756,0.0,0.0082384700359016
42,GaussianCopula,augmented,0.3,MLP,0.562907268170426,0.0,0.0113736448482287
42,GaussianCopula,augmented,0.5,GBC,0.7514786967418546,0.0,0.0123312748479353
42,GaussianCopula,augmented,0.5,LR,0.9449624060150376,0.0,0.0482071367987398
42,GaussianCopula,augmented,0.5,RF,0.7610526315789474,0.0,0.0159622512010981
42,GaussianCopula,augmented,0.5,MLP,0.5656140350877192,0.0,0.0118324574870719
42,GaussianCopula,augmented,1.0,GBC,0.8606516290726818,0.0,0.0103217739808231
42,GaussianCopula,augmented,1.0,LR,0.941954887218045,0.0,0.0398326110851605
42,GaussianCopula,augmented,1.0,RF,0.5700751879699247,0.0,0.0086666666666666
42,GaussianCopula,augmented,1.0,MLP,0.9316290726817044,0.0,0.2205526113736728
42,CTGAN,augmented,0.1,GBC,0.8876691729323309,0.0,0.036992023081767175
42,CTGAN,augmented,0.1,LR,0.9225062656641604,0.0,0.019469233390994725
42,CTGAN,augmented,0.1,RF,0.7514786967418547,0.2857142857142857,0.10752173913043479
42,CTGAN,augmented,0.1,MLP,0.9457644110275689,0.14285714285714285,0.05389313886928566
42,CTGAN,augmented,0.2,GBC,0.9012531328320802,0.0,0.05422076209203617
42,CTGAN,augmented,0.2,LR,0.9206015037593984,0.0,0.019343610057528084
42,CTGAN,augmented,0.2,RF,0.6643107769423557,0.0,0.07261111111111111
42,CTGAN,augmented,0.2,MLP,0.9527819548872181,0.10526315789473684,0.05616220883128259
42,CTGAN,augmented,0.3,GBC,0.9139849624060151,0.0,0.05188697210007392
42,CTGAN,augmented,0.3,LR,0.921203007518797,0.0,0.01929319205702275
42,CTGAN,augmented,0.3,RF,0.7655137844611528,0.2857142857142857,0.11618987341772152
42,CTGAN,augmented,0.3,MLP,0.9549874686716793,0.08695652173913043,0.05876235530138329
42,CTGAN,augmented,0.5,GBC,0.9112280701754386,0.0,0.0333853238265003
42,CTGAN,augmented,0.5,LR,0.922406015037594,0.0,0.01965054699019863
42,CTGAN,augmented,0.5,RF,0.9426566416040101,0.0,0.12070787845073361
42,CTGAN,augmented,0.5,MLP,0.9520802005012532,0.06451612903225806,0.05783903504833737
42,CTGAN,augmented,1.0,GBC,0.9067669172932331,0.2,0.07866110834380954
42,CTGAN,augmented,1.0,LR,0.9239097744360902,0.03508771929824561,0.020795676107471142
42,CTGAN,augmented,1.0,RF,0.8536842105263158,0.0,0.06531188494763156
42,CTGAN,augmented,1.0,MLP,0.9501754385964912,0.0625,0.05541785498228329
42,SMOTE,augmented,0.1,GBC,0.898546365914787,0.18181818181818182,0.06068425833796627
42,SMOTE,augmented,0.1,LR,0.9088721804511278,0.058823529411764705,0.02648115608977134
42,SMOTE,augmented,0.1,RF,0.9548370927318296,0.2,0.08926006583588861
42,SMOTE,augmented,0.1,MLP,0.8303759398496241,0.13333333333333333,0.10796241868068418
42,SMOTE,augmented,0.2,GBC,0.9252631578947368,0.18181818181818182,0.08249429982722255
42,SMOTE,augmented,0.2,LR,0.9008521303258146,0.03636363636363636,0.02485460371646409
42,SMOTE,augmented,0.2,RF,0.868421052631579,0.2222222222222222,0.12336022313926047
42,SMOTE,augmented,0.2,MLP,0.8611528822055138,0.2,0.05902251245610774
42,SMOTE,augmented,0.3,GBC,0.9340350877192982,0.13333333333333333,0.06775006662284365
42,SMOTE,augmented,0.3,LR,0.8932330827067669,0.027777777777777776,0.024090614451477657
42,SMOTE,augmented,0.3,RF,0.8576942355889724,0.2222222222222222,0.1159623318946043
42,SMOTE,augmented,0.3,MLP,0.8449122807017544,0.18181818181818182,0.07500043698193967
42,SMOTE,augmented,0.5,GBC,0.9324310776942356,0.13333333333333333,0.06649493790755423
42,SMOTE,augmented,0.5,LR,0.8844110275689223,0.0196078431372549,0.023310067058970776
42,SMOTE,augmented,0.5,RF,0.8658646616541354,0.2222222222222222,0.12007679827519233
42,SMOTE,augmented,0.5,MLP,0.847919799498747,0.14285714285714285,0.04141996908415401
42,SMOTE,augmented,1.0,GBC,0.9081704260651631,0.1111111111111111,0.054703399957676806
42,SMOTE,augmented,1.0,LR,0.8745864661654135,0.013605442176870748,0.02161319539975793
42,SMOTE,augmented,1.0,RF,0.8618045112781955,0.18181818181818182,0.11762416586531457
42,SMOTE,augmented,1.0,MLP,0.882406015037594,0.125,0.028120362076725365
123,Baseline,real_only,0.0,GBC,0.9790203945168839,0.4,0.3814922060476096
123,Baseline,real_only,0.0,LR,0.9857907054496824,0.5,0.422360931552108
123,Baseline,real_only,0.0,RF,0.9016633233032431,0.2857142857142857,0.4418225777048582
123,Baseline,real_only,0.0,MLP,0.02014376462721499,0.0,0.0017734897715303514
123,GaussianCopula,augmented,0.1,GBC,0.8122701437646274,0.2222222222222222,0.20835593566585195
123,GaussianCopula,augmented,0.1,LR,0.9858742895352725,0.5,0.4288965003250717
123,GaussianCopula,augmented,0.1,RF,0.9752591106653292,0.2857142857142857,0.3976451615376065
123,GaussianCopula,augmented,0.1,MLP,0.019475091942494173,0.0,0.001773573765829395
123,GaussianCopula,augmented,0.2,GBC,0.9831995987963892,0.4,0.25434850785486124
123,GaussianCopula,augmented,0.2,LR,0.985539953192912,0.5,0.42026668024681924
123,GaussianCopula,augmented,0.2,RF,0.976554663991976,0.5,0.38937236805614284
123,GaussianCopula,augmented,0.2,MLP,0.018137746573052484,0.0,0.0017690003751737085
123,GaussianCopula,augmented,0.3,GBC,0.8116014710799064,0.16666666666666666,0.23832589827955958
123,GaussianCopula,augmented,0.3,LR,0.9849548645937813,0.5,0.42236461431889494
123,GaussianCopula,augmented,0.3,RF,0.9745068538950185,0.5,0.4173471872902449
123,GaussianCopula,augmented,0.3,MLP,0.019809428284854547,0.0,0.0017714594814015065
123,GaussianCopula,augmented,0.5,GBC,0.9856235372785023,0.26666666666666666,0.39688417172889223
123,GaussianCopula,augmented,0.5,LR,0.9837011033099299,0.5,0.41424838695064103
123,GaussianCopula,augmented,0.5,RF,0.9785188900033434,0.2857142857142857,0.39986725794769473
123,GaussianCopula,augmented,0.5,MLP,0.025660314276161812,0.0,0.0017816504186359734
123,GaussianCopula,augmented,1.0,GBC,0.9848712805081913,0.4444444444444444,0.39737724149488857
123,GaussianCopula,augmented,1.0,LR,0.9840354396522902,0.5,0.4093170001224712
123,GaussianCopula,augmented,1.0,RF,0.8939735874289536,0.2857142857142857,0.3977463768115942
123,GaussianCopula,augmented,1.0,MLP,0.030257438983617525,0.0,0.0017860929809220437
123,CTGAN,augmented,0.1,GBC,0.9805249080575059,0.18181818181818182,0.17929010892763558
123,CTGAN,augmented,0.1,LR,0.9852056168505516,0.2222222222222222,0.35767298738996856
123,CTGAN,augmented,0.1,RF,0.8971497826813775,0.2,0.18172248122248122
123,CTGAN,augmented,0.1,MLP,0.9714142427281846,0.11764705882352941,0.23271785581568188
123,CTGAN,augmented,0.2,GBC,0.9875459712470747,0.15384615384615385,0.21842923638698286
123,CTGAN,augmented,0.2,LR,0.9857071213640923,0.1875,0.36051448551448545
123,CTGAN,augmented,0.2,RF,0.8967736542962222,0.2,0.21063959100459756
123,CTGAN,augmented,0.2,MLP,0.9745068538950185,0.12903225806451613,0.17413531564803786
123,CTGAN,augmented,0.3,GBC,0.9845369441658308,0.3333333333333333,0.20989449084098016
123,CTGAN,augmented,0.3,LR,0.9866265463055834,0.15,0.42285382548540446
123,CTGAN,augmented,0.3,RF,0.8946422601136744,0.3076923076923077,0.13748497884544397
123,CTGAN,augmented,0.3,MLP,0.9699933132731527,0.12903225806451613,0.08564259814259816
