seed,method,condition,alpha,classifier,auc_roc,f1_minority,avg_precision
42,Baseline,real_only,0.0,GBC,0.6189059220489386,0.0,0.013636204915036
42,Baseline,real_only,0.0,LR,0.7596641781131273,0.0,0.0559366063555937
42,Baseline,real_only,0.0,RF,0.5317356996732114,0.0,0.0115682740907155
42,Baseline,real_only,0.0,MLP,0.4727543239724753,0.0,0.0101806147563007
42,GaussianCopula,augmented,0.1,GBC,0.5809266983713701,0.0,0.0135634017657839
42,GaussianCopula,augmented,0.1,LR,0.75496160896942,0.0,0.06484989108992
42,GaussianCopula,augmented,0.1,RF,0.5237253912165574,0.0,0.011077222847694
42,GaussianCopula,augmented,0.1,MLP,0.4741358697096097,0.0,0.0106916322335265
42,GaussianCopula,augmented,0.2,GBC,0.560030819097213,0.0,0.0123587373424307
42,GaussianCopula,augmented,0.2,LR,0.7492228805228619,0.0,0.0578097719724952
42,GaussianCopula,augmented,0.2,RF,0.5523658970748426,0.0,0.0116638734394444
42,GaussianCopula,augmented,0.2,MLP,0.4741624378968623,0.0,0.0107353469987858
42,GaussianCopula,augmented,0.3,GBC,0.5753075267674486,0.0,0.0142404560667103
42,GaussianCopula,augmented,0.3,LR,0.7387284465580913,0.0,0.0677456346845151
42,GaussianCopula,augmented,0.3,RF,0.5127261616939877,0.0,0.0115596495518507
42,GaussianCopula,augmented,0.3,MLP,0.4840989399293286,0.0,0.0109123673880394
42,GaussianCopula,augmented,0.5,GBC,0.5597252849438082,0.0,0.0123594096962965
42,GaussianCopula,augmented,0.5,LR,0.7357793777730546,0.0,0.0517928365455516
42,GaussianCopula,augmented,0.5,RF,0.5812986529929063,0.0,0.0150479760067102
42,GaussianCopula,augmented,0.5,MLP,0.4948324875793725,0.0,0.011441076156529
42,GaussianCopula,augmented,1.0,GBC,0.5709901963389038,0.0,0.0123180914162602
42,GaussianCopula,augmented,1.0,LR,0.698982438428226,0.0,0.0422150382499013
42,GaussianCopula,augmented,1.0,RF,0.5283748239857594,0.0,0.0119560072484139
42,GaussianCopula,augmented,1.0,MLP,0.5018730572013071,0.0,0.0109766568866347
42,CTGAN,augmented,0.1,GBC,0.6928053348920004,0.0,0.0250891099929909
42,CTGAN,augmented,0.1,LR,0.7470708573554026,0.0,0.0537494329331714
42,CTGAN,augmented,0.1,RF,0.5389356784186615,0.0,0.0103533023432817
42,CTGAN,augmented,0.1,MLP,0.4857461675389888,0.0,0.0112834004418439
42,CTGAN,augmented,0.2,GBC,0.7056776216158771,0.0,0.0278322181186737
42,CTGAN,augmented,0.2,LR,0.753234676798002,0.0,0.0559528648516783
42,CTGAN,augmented,0.2,RF,0.5229017774117272,0.0,0.0107335704448486
42,CTGAN,augmented,0.2,MLP,0.5102686043731236,0.0,0.0126729538482894
42,CTGAN,augmented,0.3,GBC,0.6528999176386194,0.0,0.0219698757482933
42,CTGAN,augmented,0.3,LR,0.733069422673291,0.0,0.0485909850230856
42,CTGAN,augmented,0.3,RF,0.5384707351417413,0.0,0.010606625343005
42,CTGAN,augmented,0.3,MLP,0.5274582215255453,0.0,0.0138691259445435
42,CTGAN,augmented,0.5,GBC,0.6291745264220623,0.0,0.0231159673210021
42,CTGAN,augmented,0.5,LR,0.7463535162995829,0.0,0.0534229523869905
42,CTGAN,augmented,0.5,RF,0.5598581258800712,0.0,0.0112308705619503
42,CTGAN,augmented,0.5,MLP,0.5548500225829591,0.0,0.0172720211227967
42,CTGAN,augmented,1.0,GBC,0.7070193150721327,0.0,0.0331582836721153
42,CTGAN,augmented,1.0,LR,0.7474693801641914,0.0,0.049638278914599
42,CTGAN,augmented,1.0,RF,0.5675629001833206,0.0,0.0130397876844737
42,CTGAN,augmented,1.0,MLP,0.6311804245596323,0.0,0.032740628625309
42,SMOTE,augmented,0.1,GBC,0.6487021440527112,0.0,0.0211894250168983
42,SMOTE,augmented,0.1,LR,0.3555354818140758,0.0,0.0116148309947388
42,SMOTE,augmented,0.1,RF,0.5706315258109939,0.0425531914893617,0.0196240507534931
42,SMOTE,augmented,0.1,MLP,0.6269295145992189,0.0,0.0170006495952364
42,SMOTE,augmented,0.2,GBC,0.6831345147320598,0.04,0.0220781813240672
42,SMOTE,augmented,0.2,LR,0.3762852360583437,0.037037037037037,0.0122781166804706
42,SMOTE,augmented,0.2,RF,0.6206859905948617,0.0615384615384615,0.0185238084425623
42,SMOTE,augmented,0.2,MLP,0.6297191742607402,0.0294117647058823,0.0179835221017502
42,SMOTE,augmented,0.3,GBC,0.6834001966045856,0.0533333333333333,0.0231161589766847
42,SMOTE,augmented,0.3,LR,0.4041552644863041,0.0192307692307692,0.0143754102131777
42,SMOTE,augmented,0.3,RF,0.6356438800180664,0.0526315789473684,0.0252516334752891
42,SMOTE,augmented,0.3,MLP,0.6073487605940646,0.0206185567010309,0.0183307172353897
42,SMOTE,augmented,0.5,GBC,0.6695980233268684,0.0341880341880341,0.0188208319953097
42,SMOTE,augmented,0.5,LR,0.4315736337309704,0.0097560975609756,0.0129496971623355
42,SMOTE,augmented,0.5,RF,0.6698371370121416,0.0449438202247191,0.0244276404300908
42,SMOTE,augmented,0.5,MLP,0.5824809373256463,0.0346820809248554,0.0135780295682473
42,SMOTE,augmented,1.0,GBC,0.6753633199606791,0.0350877192982456,0.0190611473275229
42,SMOTE,augmented,1.0,LR,0.468051754828768,0.0175824175824175,0.0162887566485619
42,SMOTE,augmented,1.0,RF,0.5978240654640133,0.0416666666666666,0.0194786696282458
42,SMOTE,augmented,1.0,MLP,0.5484470894550865,0.0251046025104602,0.0140050346015539
123,Baseline,real_only,0.0,GBC,0.5465579100796053,0.0606060606060606,0.0221754054176826
123,Baseline,real_only,0.0,LR,0.6573186455880704,0.0,0.0163608963106134
123,Baseline,real_only,0.0,RF,0.6554966924543111,0.0,0.0318858277863544
123,Baseline,real_only,0.0,MLP,0.4608560376723847,0.0,0.0121440335332883
123,GaussianCopula,augmented,0.1,GBC,0.6368286803453302,0.0,0.020154061742527
123,GaussianCopula,augmented,0.1,LR,0.6648867586052246,0.0,0.0185547314687382
123,GaussianCopula,augmented,0.1,RF,0.6788457226146428,0.0,0.0342427323962825
123,GaussianCopula,augmented,0.1,MLP,0.4749271218746497,0.0,0.0127819988577008
123,GaussianCopula,augmented,0.2,GBC,0.622435250588631,0.0,0.0232730022954583
123,GaussianCopula,augmented,0.2,LR,0.6581595470344209,0.0,0.0201465226798505
123,GaussianCopula,augmented,0.2,RF,0.6314889561610045,0.0,0.0344919018585255
123,GaussianCopula,augmented,0.2,MLP,0.4607439174795381,0.0,0.0115604646417607
123,GaussianCopula,augmented,0.3,GBC,0.5210225361587623,0.0,0.0185600647340503
123,GaussianCopula,augmented,0.3,LR,0.6638776768696042,0.0,0.0180644550737452
123,GaussianCopula,augmented,0.3,RF,0.6612568673618118,0.0,0.0401734327299227
123,GaussianCopula,augmented,0.3,MLP,0.4493637179055947,0.0,0.0108300223544303
123,GaussianCopula,augmented,0.5,GBC,0.5481135777553537,0.064516129032258,0.0194595659742014
123,GaussianCopula,augmented,0.5,LR,0.6654193295212468,0.0,0.0187916601473657
123,GaussianCopula,augmented,0.5,RF,0.6999943939903577,0.0,0.0356575016761133
123,GaussianCopula,augmented,0.5,MLP,0.4321252382554099,0.0,0.0098178888791918
123,GaussianCopula,augmented,1.0,GBC,0.5626051126807938,0.0,0.0199048933601669
123,GaussianCopula,augmented,1.0,LR,0.6865820159210674,0.0,0.01829206130448
123,GaussianCopula,augmented,1.0,RF,0.6760567328175805,0.0,0.0317647526433804
123,GaussianCopula,augmented,1.0,MLP,0.40947695930037,0.0,0.01036081153491
123,CTGAN,augmented,0.1,GBC,0.5800538176925665,0.074074074074074,0.0291734436641823
123,CTGAN,augmented,0.1,LR,0.6114334566655455,0.0,0.0149921311511511
123,CTGAN,augmented,0.1,RF,0.6827979594124902,0.0,0.0385425628469202
123,CTGAN,augmented,0.1,MLP,0.4777581567440296,0.0,0.0129348002333149
123,CTGAN,augmented,0.2,GBC,0.575583025002803,0.0833333333333333,0.0327208307007384
123,CTGAN,augmented,0.2,LR,0.5988759950667115,0.0,0.0135488618907479
123,CTGAN,augmented,0.2,RF,0.6754260567328176,0.0,0.0372676093851261
123,CTGAN,augmented,0.2,MLP,0.4751233322121314,0.0,0.011466188522015
123,CTGAN,augmented,0.3,GBC,0.5742235676645364,0.0,0.0131125962013693
123,CTGAN,augmented,0.3,LR,0.5979510034757259,0.0,0.0130643782954399
