seed,method,alpha,auc
42,DenseBaseline,0.0,0.9611461874696455
42,Baseline,0.0,0.9431762991743564
42,GaussianCopula,0.1,0.9431762991743565
42,GaussianCopula,0.2,0.9528897523069452
42,GaussianCopula,0.3,0.9679456046624575
42,GaussianCopula,0.5,0.9490043710539096
42,GaussianCopula,1.0,0.9446333171442447
42,CTGAN,0.1,0.9708596406022341
42,CTGAN,0.2,0.9703739679456047
42,CTGAN,0.3,0.9616318601262748
42,CTGAN,0.5,0.9475473530840214
42,CTGAN,1.0,0.9184069936862554
123,DenseBaseline,0.0,0.9665309814563545
123,Baseline,0.0,0.9303482587064678
123,GaussianCopula,0.1,0.9317051108095884
123,GaussianCopula,0.2,0.9317051108095884
123,GaussianCopula,0.3,0.9222071460877431
123,GaussianCopula,0.5,0.9194934418815016
123,GaussianCopula,1.0,0.8819538670284939
123,CTGAN,0.1,0.9357756671189508
123,CTGAN,0.2,0.9258254183627318
123,CTGAN,0.3,0.9235639981908639
123,CTGAN,0.5,0.9203980099502487
123,CTGAN,1.0,0.9434644957033018
7,DenseBaseline,0.0,0.9766666666666667
7,Baseline,0.0,0.8685714285714285
7,GaussianCopula,0.1,0.8704761904761904
7,GaussianCopula,0.2,0.8804761904761905
7,GaussianCopula,0.3,0.8657142857142858
7,GaussianCopula,0.5,0.8861904761904762
7,GaussianCopula,1.0,0.8642857142857143
7,CTGAN,0.1,0.8761904761904762
7,CTGAN,0.2,0.8638095238095238
7,CTGAN,0.3,0.8780952380952382
7,CTGAN,0.5,0.8614285714285714
7,CTGAN,1.0,0.8842857142857142
2024,DenseBaseline,0.0,0.9822346891070595
2024,Baseline,0.0,0.919588592800374
2024,GaussianCopula,0.1,0.9186535764375876
2024,GaussianCopula,0.2,0.8999532491818607
2024,GaussianCopula,0.3,0.8854604955586722
2024,GaussianCopula,0.5,0.9111734455352968
2024,GaussianCopula,1.0,0.8826554464703131
2024,CTGAN,0.1,0.908835904628331
2024,CTGAN,0.2,0.8957456755493222
2024,CTGAN,0.3,0.9125759700794764
2024,CTGAN,0.5,0.898083216456288
2024,CTGAN,1.0,0.8195418419822347
999,DenseBaseline,0.0,0.9712301587301587
999,Baseline,0.0,0.8234126984126985
999,GaussianCopula,0.1,0.8283730158730158
999,GaussianCopula,0.2,0.7911706349206349
999,GaussianCopula,0.3,0.7956349206349207
999,GaussianCopula,0.5,0.7966269841269841
999,GaussianCopula,1.0,0.800595238095238
999,CTGAN,0.1,0.8184523809523809
999,CTGAN,0.2,0.7956349206349207
999,CTGAN,0.3,0.7777777777777779
999,CTGAN,0.5,0.8348214285714286
999,CTGAN,1.0,0.8020833333333334
