seed,method,condition,alpha,auc_roc,f1_minority,avg_precision
42,Baseline,real_only,0.0,0.7476691729323308,0.0,0.014740235325735353
42,TabDDPM,augmented,0.1,0.8105263157894737,0.0,0.01451707315624444
42,TabDDPM,augmented,0.2,0.8732832080200501,0.0,0.01623346490997992
42,TabDDPM,augmented,0.3,0.8752882205513784,0.0,0.02446317640427411
42,TabDDPM,augmented,0.5,0.8547869674185463,0.0,0.013537299955681904
42,TabDDPM,augmented,1.0,0.821704260651629,0.0,0.015151008883524109
123,Baseline,real_only,0.0,0.979020394516884,0.4,0.3814922060476096
123,TabDDPM,augmented,0.1,0.9681544633901704,0.25,0.1796586364554188
123,TabDDPM,augmented,0.2,0.9693246405884319,0.18181818181818182,0.12055535145839788
123,TabDDPM,augmented,0.3,0.9822801738548981,0.2857142857142857,0.19233675205241912
123,TabDDPM,augmented,0.5,0.8146104981611502,0.4,0.20342831870449748
123,TabDDPM,augmented,1.0,0.9584169174189234,0.18181818181818182,0.16464607477384732
7,Baseline,real_only,0.0,0.965354396522902,0.3076923076923077,0.2866824906119212
7,TabDDPM,augmented,0.1,0.971664994984955,0.2857142857142857,0.18604582080812979
7,TabDDPM,augmented,0.2,0.8691073219658977,0.18181818181818182,0.07395926468894566
7,TabDDPM,augmented,0.3,0.9696589769307924,0.2857142857142857,0.1107923918525547
7,TabDDPM,augmented,0.5,0.9765128719491809,0.11764705882352941,0.13986626076965816
7,TabDDPM,augmented,1.0,0.8935974590437981,0.18181818181818182,0.06688097944491805
2024,Baseline,real_only,0.0,0.5670175438596491,0.2857142857142857,0.10806457983833018
2024,TabDDPM,augmented,0.1,0.9740350877192983,0.0,0.06803694999347173
2024,TabDDPM,augmented,0.2,0.9719298245614035,0.0,0.07381231671554252
2024,TabDDPM,augmented,0.3,0.9758395989974937,0.0,0.06721855591451623
2024,TabDDPM,augmented,0.5,0.9782456140350878,0.18181818181818182,0.16911236911236913
2024,TabDDPM,augmented,1.0,0.9912781954887218,0.0,0.15564238880028353
999,Baseline,real_only,0.0,0.9691389028405603,0.3,0.2887628188829562
999,TabDDPM,augmented,0.1,0.8619342597243147,0.16,0.08730398928946514
999,TabDDPM,augmented,0.2,0.9436352475026506,0.2,0.12271053537823402
999,TabDDPM,augmented,0.3,0.9205870863329426,0.21052631578947367,0.16238104181320206
999,TabDDPM,augmented,0.5,0.8469222612869022,0.2222222222222222,0.12308286665602639
999,TabDDPM,augmented,1.0,0.9309671298621576,0.2222222222222222,0.15697144915127734
