seed,method,alpha,auc
42,Baseline,0.0,0.8370006367415398
42,GaussianCopula,0.1,0.8372555921955159
42,GaussianCopula,0.2,0.839365122093896
42,GaussianCopula,0.3,0.8390014546696969
42,GaussianCopula,0.5,0.8351305320156752
42,GaussianCopula,1.0,0.8380515191203648
42,CTGAN,0.1,0.8315236241464815
42,CTGAN,0.2,0.8325745065253065
42,CTGAN,0.3,0.8324826190266655
42,CTGAN,0.5,0.8296716380823208
42,CTGAN,1.0,0.8323777896268073
123,Baseline,0.0,0.8310305377101118
123,GaussianCopula,0.1,0.8337742207681277
123,GaussianCopula,0.2,0.8360092871083133
123,GaussianCopula,0.3,0.8370873474796943
123,GaussianCopula,0.5,0.8358358656320048
123,GaussianCopula,1.0,0.8333781985908857
123,CTGAN,0.1,0.8340071749900348
123,CTGAN,0.2,0.8338544605556732
123,CTGAN,0.3,0.8366421460778275
123,CTGAN,0.5,0.8353440733857567
123,CTGAN,1.0,0.8342478943526721
7,Baseline,0.0,0.859198585709035
7,GaussianCopula,0.1,0.8581231137178976
7,GaussianCopula,0.2,0.8576364982321364
7,GaussianCopula,0.3,0.8587184411738822
7,GaussianCopula,0.5,0.8571007035217502
7,GaussianCopula,1.0,0.8566373834581795
7,CTGAN,0.1,0.8602287610459126
7,CTGAN,0.2,0.8597382629897863
7,CTGAN,0.3,0.857351776405361
7,CTGAN,0.5,0.8581049950561936
7,CTGAN,1.0,0.8584596031495411
2024,Baseline,0.0,0.8553496642870824
2024,GaussianCopula,0.1,0.8575743771062944
2024,GaussianCopula,0.2,0.859031635183335
2024,GaussianCopula,0.3,0.8582758281522589
2024,GaussianCopula,0.5,0.85964249292078
2024,GaussianCopula,1.0,0.8576843832666394
2024,CTGAN,0.1,0.855602031360815
2024,CTGAN,0.2,0.8494170967691838
2024,CTGAN,0.3,0.854897991934607
2024,CTGAN,0.5,0.8589242174032334
2024,CTGAN,1.0,0.8527341060511153
999,Baseline,0.0,0.838253412779351
999,GaussianCopula,0.1,0.8373668925459827
999,GaussianCopula,0.2,0.8393198254396365
999,GaussianCopula,0.3,0.8374743103260841
999,GaussianCopula,0.5,0.8382197638361866
999,GaussianCopula,1.0,0.8397909106439372
999,CTGAN,0.1,0.8386377872454976
999,CTGAN,0.2,0.8372025304005258
999,CTGAN,0.3,0.8425048273291539
999,CTGAN,0.5,0.8400005694436534
999,CTGAN,1.0,0.8399319773672032
