n,seed,method,auc,error
50,42,Baseline,0.5804761904761905,
50,42,GReaT,0.5502380952380953,
50,123,Baseline,0.6420238095238096,
50,123,GReaT,0.7152380952380952,
50,7,Baseline,0.7283333333333333,
50,7,GReaT,0.6351190476190477,
50,2024,Baseline,0.5282738095238095,
50,2024,GReaT,0.6166666666666667,
50,999,Baseline,0.7438095238095238,
50,999,GReaT,0.6703571428571429,
100,42,Baseline,0.6919047619047619,
100,42,GReaT,0.6128571428571429,
100,123,Baseline,0.7250000000000001,
100,123,GReaT,0.6322619047619048,
100,7,Baseline,0.6770238095238095,
100,7,GReaT,0.6121428571428571,
100,2024,Baseline,0.6867857142857143,
100,2024,GReaT,0.6678571428571428,
100,999,Baseline,0.7589285714285715,
100,999,GReaT,0.663452380952381,
200,42,Baseline,0.7122619047619048,
200,42,GReaT,0.7285714285714286,
200,123,Baseline,0.8032142857142858,
200,123,GReaT,0.6827380952380953,
200,7,Baseline,0.7563095238095239,
200,7,GReaT,0.6707142857142857,
200,2024,Baseline,0.7547619047619049,
200,2024,GReaT,0.7077380952380953,
200,999,Baseline,0.7671428571428572,
200,999,GReaT,0.7078571428571429,
500,42,Baseline,0.7640476190476191,
500,42,GReaT,0.7383333333333334,
500,123,Baseline,0.7722619047619046,
500,123,GReaT,0.7221428571428572,
500,7,Baseline,0.7135714285714286,
500,7,GReaT,0.7119047619047619,
500,2024,Baseline,0.7592857142857143,
500,2024,GReaT,0.7292857142857143,
500,999,Baseline,0.794404761904762,
500,999,GReaT,0.7519047619047619,
