n,seed,method,auc,error
50,42,Baseline,0.6835344492020242,
50,42,GReaT,0.6939880354838049,
50,123,Baseline,0.6882554649566697,
50,123,GReaT,0.7426418993669461,
50,7,Baseline,0.654436884103993,
50,7,GReaT,0.6927447194279979,
50,2024,Baseline,0.7121563274671693,
50,2024,GReaT,0.783721266722665,
50,999,Baseline,0.6139433222019627,
50,999,GReaT,0.6357083956485219,
100,42,Baseline,0.7322683411526091,
100,42,GReaT,0.7307215586650551,
100,123,Baseline,0.7413339206326444,
100,123,GReaT,0.7001918112720493,
100,7,Baseline,0.7674602036426215,
100,7,GReaT,0.7478674120587573,
100,2024,Baseline,0.7945096904386306,
100,2024,GReaT,0.771016010735285,
100,999,Baseline,0.6981911095859541,
100,999,GReaT,0.7148894460265105,
200,42,Baseline,0.7378632634037411,
200,42,GReaT,0.7524872723361536,
200,123,Baseline,0.7717106543606973,
200,123,GReaT,0.7774470662350699,
200,7,Baseline,0.779627671016779,
200,7,GReaT,0.7774220974780275,
200,2024,Baseline,0.7703047212718445,
200,2024,GReaT,0.7372019114543852,
200,999,Baseline,0.7759745497941039,
200,999,GReaT,0.7876093503513552,
500,42,Baseline,0.7994599065784354,
500,42,GReaT,0.7951774446333819,
500,123,Baseline,0.784634226916064,
500,123,GReaT,0.7898751049968245,
500,7,Baseline,0.8004797842699392,
500,7,GReaT,0.793221558665055,
500,2024,Baseline,0.7985674335703017,
500,2024,GReaT,0.80220198828133,
500,999,Baseline,0.792657520845711,
500,999,GReaT,0.8026667912970438,
1000,42,Baseline,0.825182207903956,
1000,42,GReaT,0.8189297750507056,
1000,123,Baseline,0.803559264305177,
1000,123,GReaT,0.7999951342934996,
1000,7,Baseline,0.8193203120198316,
1000,7,GReaT,0.8113872897502612,
1000,2024,Baseline,0.8085146022412981,
1000,2024,GReaT,0.8178209061482044,
1000,999,Baseline,0.8115479861096884,
1000,999,GReaT,0.8094045143512734,
2000,42,Baseline,0.8322957427629019,
2000,42,GReaT,0.835041665813034,
2000,123,Baseline,0.8169649259388252,
2000,123,GReaT,0.8268896867509372,
2000,7,Baseline,0.8242711683841757,
2000,7,GReaT,0.8273122349470406,
2000,2024,Baseline,0.8225400012292311,
2000,2024,GReaT,0.8265478068468174,
2000,999,Baseline,0.8263954334064044,
2000,999,GReaT,0.8308411526090429,
