n_real,condition,auc_roc,f1_minority,avg_precision
250,real_only,0.820489697235639,0.25477707006369427,0.3792756654619926
250,ctgan_augmented,0.7170017390855443,0.11566265060240964,0.24304832037286622
250,smote_augmented,0.7871970178500944,0.366412213740458,0.3248583192110399
500,real_only,0.8514899456764311,0.37410071942446044,0.41269021182849364
500,ctgan_augmented,0.7710101860724737,0.20489977728285078,0.32723504214958027
500,smote_augmented,0.8417087994286936,0.4346701164294955,0.3699761982136956
1000,real_only,0.870646236444651,0.3903345724907063,0.46221005087926553
1000,ctgan_augmented,0.8242975094617223,0.2081447963800905,0.3922043119910282
1000,smote_augmented,0.8588770261099442,0.4699738903394256,0.4294276117367472
2000,real_only,0.8911302335235896,0.4029038112522686,0.48032054870678315
2000,ctgan_augmented,0.8198680575049015,0.15037593984962405,0.4170692105640919
2000,smote_augmented,0.8744610394289519,0.4865497076023392,0.45031210734098515
