n_real,condition,auc_roc,f1_minority,avg_precision
250,real_only,0.7889292388609056,0.5243553008595988,0.5690945828824967
250,ctgan_augmented,0.788047895388024,0.4807692307692308,0.5651278070960551
250,smote_augmented,0.795473958306371,0.5663716814159292,0.5835220986378573
500,real_only,0.810659985194465,0.4921135646687697,0.5900666765835286
500,ctgan_augmented,0.8014091142045131,0.495114006514658,0.6061346358943506
500,smote_augmented,0.8035678233275181,0.5796344647519582,0.5718572099716235
1000,real_only,0.8139977015183438,0.5106382978723404,0.6043265465105208
1000,ctgan_augmented,0.8145270252781215,0.48027444253859347,0.6138136875203978
1000,smote_augmented,0.796414834524851,0.5687426556991775,0.5845307074376412
2000,real_only,0.8187616153563423,0.5544267053701016,0.6233466347377394
2000,ctgan_augmented,0.8103429086146471,0.5306748466257669,0.6024041760710117
2000,smote_augmented,0.8058119489985557,0.5686977299880526,0.5869772363954802
