dataset,method,alpha,condition,auc_roc,f1_minority,avg_precision
Bank Marketing,Baseline,0.0,real_only,0.9085022676944158,0.4710017574692443,0.5478157711455964
Bank Marketing,GaussianCopula,1.0,synthetic_only,0.7504804801898044,0.15845070422535212,0.23189345880124515
Bank Marketing,GaussianCopula,0.1,augmented,0.9072600637342049,0.4842105263157895,0.5608999607200613
Bank Marketing,GaussianCopula,0.2,augmented,0.9103714888916852,0.46153846153846156,0.5659559769667102
Bank Marketing,GaussianCopula,0.3,augmented,0.9082419963884667,0.4575645756457565,0.5616867529531748
Bank Marketing,GaussianCopula,0.5,augmented,0.9022159628048642,0.448210922787194,0.5587938887530759
Bank Marketing,GaussianCopula,1.0,augmented,0.9014555834110383,0.4375,0.5582396373350816
Bank Marketing,CTGAN,1.0,synthetic_only,0.7186069247224399,0.19325842696629214,0.282080867954005
Bank Marketing,CTGAN,0.1,augmented,0.9040066724098433,0.46605504587155966,0.557941395733964
Bank Marketing,CTGAN,0.2,augmented,0.9043529838169324,0.41697416974169743,0.532242477378042
Bank Marketing,CTGAN,0.3,augmented,0.9027456471775083,0.4044943820224719,0.5305323336432323
Bank Marketing,CTGAN,0.5,augmented,0.8988109258022432,0.40078585461689586,0.5311176372098907
Bank Marketing,CTGAN,1.0,augmented,0.8876569021906884,0.3643724696356275,0.5367705953217832
Bank Marketing,SMOTE,0.1,augmented,0.9078333059080511,0.5333333333333333,0.5495518971820788
Bank Marketing,SMOTE,0.2,augmented,0.9051870350473595,0.5510752688172043,0.5350427250528166
Bank Marketing,SMOTE,0.3,augmented,0.9045212997647878,0.5468549422336328,0.5219656044788974
Bank Marketing,SMOTE,0.5,augmented,0.8993481386837371,0.548502994011976,0.5142860304043856
Bank Marketing,SMOTE,1.0,augmented,0.8920960336588877,0.5343347639484979,0.4871726070586869
