dataset,method,alpha,condition,auc_roc,f1_minority,avg_precision
Credit Default,Baseline,0.0,real_only,0.7748809523809524,0.5794392523364486,0.6199490404996474
Credit Default,GaussianCopula,1.0,synthetic_only,0.564047619047619,0.2077922077922078,0.38041084292438593
Credit Default,GaussianCopula,0.1,augmented,0.7819047619047619,0.5981308411214953,0.6576033574358333
Credit Default,GaussianCopula,0.2,augmented,0.7713095238095238,0.5436893203883495,0.6396987252781703
Credit Default,GaussianCopula,0.3,augmented,0.7570238095238095,0.48,0.6252443835115222
Credit Default,GaussianCopula,0.5,augmented,0.7770238095238096,0.4897959183673469,0.6192115630003329
Credit Default,GaussianCopula,1.0,augmented,0.7707142857142857,0.4444444444444444,0.6060237847862668
Credit Default,CTGAN,1.0,synthetic_only,0.5111904761904762,0.2708333333333333,0.30890458914326946
Credit Default,CTGAN,0.1,augmented,0.784642857142857,0.46938775510204084,0.6309299083121581
Credit Default,CTGAN,0.2,augmented,0.7726190476190476,0.5346534653465347,0.6121247756998275
Credit Default,CTGAN,0.3,augmented,0.815952380952381,0.6285714285714286,0.7123655101940863
Credit Default,CTGAN,0.5,augmented,0.7476190476190475,0.5471698113207547,0.6287835777181829
Credit Default,CTGAN,1.0,augmented,0.7508333333333334,0.45,0.6418551666644996
Credit Default,SMOTE,0.1,augmented,0.7730952380952381,0.5688073394495413,0.6307256466930902
Credit Default,SMOTE,0.2,augmented,0.7701190476190478,0.5689655172413793,0.6038577786959062
Credit Default,SMOTE,0.3,augmented,0.7552380952380953,0.5546218487394958,0.5735826832518438
Credit Default,SMOTE,0.5,augmented,0.7497619047619047,0.5,0.5458939140685124
Credit Default,SMOTE,1.0,augmented,0.7492857142857142,0.5271317829457365,0.5567096909798044
