method,condition,alpha,auc_roc,f1_minority,avg_precision
Baseline,real_only,0.0,0.7476691729323308,0.0,0.014740235325735353
GaussianCopula,synthetic_only,0.0,0.8603007518796992,0.0,0.010304962957676503
GaussianCopula,augmented,0.1,0.8775438596491228,0.0,0.015231277148002787
GaussianCopula,augmented,0.2,0.8821553884711778,0.0,0.0129750218363704
GaussianCopula,augmented,0.3,0.7404010025062656,0.0,0.011965191466013766
GaussianCopula,augmented,0.5,0.7514786967418546,0.0,0.012331274847935387
GaussianCopula,augmented,1.0,0.8606516290726818,0.0,0.010321773980823165
CTGAN,synthetic_only,0.0,0.9173934837092732,0.01639344262295082,0.02022035164200579
CTGAN,augmented,0.1,0.8870676691729323,0.0,0.019518258885386233
CTGAN,augmented,0.2,0.9266165413533834,0.0,0.03404770891126258
CTGAN,augmented,0.3,0.8916290726817042,0.0,0.031787963881234366
CTGAN,augmented,0.5,0.943358395989975,0.0,0.03937676523561129
CTGAN,augmented,1.0,0.9088721804511277,0.2,0.07926542908401571
SMOTE,augmented,0.1,0.898546365914787,0.18181818181818182,0.06068425833796627
SMOTE,augmented,0.2,0.9252631578947368,0.18181818181818182,0.08249429982722255
SMOTE,augmented,0.3,0.9340350877192982,0.13333333333333333,0.06775006662284365
SMOTE,augmented,0.5,0.9324310776942356,0.13333333333333333,0.06649493790755423
SMOTE,augmented,1.0,0.9081704260651631,0.1111111111111111,0.054703399957676806
