n,method,auc_roc,f1_minority
50,Baseline,0.7072486772486772,0.5235602094240838
50,GaussianCopula,0.6744973544973545,0.43333333333333335
50,CTGAN,0.6323280423280423,0.35443037974683544
50,GReaT,0.7072486772486772,0.5235602094240838
100,Baseline,0.6824338624338624,0.46153846153846156
100,GaussianCopula,0.6318518518518518,0.38848920863309355
100,CTGAN,0.6915873015873016,0.38848920863309355
100,GReaT,0.6824338624338624,0.46153846153846156
200,Baseline,0.7215873015873016,0.4375
200,GaussianCopula,0.6788888888888889,0.4050632911392405
200,CTGAN,0.668941798941799,0.391304347826087
200,GReaT,0.7215873015873016,0.4375
500,Baseline,0.779153439153439,0.5903614457831325
500,GaussianCopula,0.7574074074074074,0.5487804878048781
500,CTGAN,0.7454497354497355,0.417910447761194
500,GReaT,0.779153439153439,0.5903614457831325
