method,condition,alpha,auc_roc,f1_minority,avg_precision
Baseline,real_only,0.0,0.6189059220489386,0.0,0.013636204915036027
GaussianCopula,synthetic_only,0.0,0.391043864077154,0.0,0.007681652245554001
GaussianCopula,augmented,0.1,0.5809266983713701,0.0,0.013563401765783918
GaussianCopula,augmented,0.2,0.560030819097213,0.0,0.012358737342430795
GaussianCopula,augmented,0.3,0.5753075267674486,0.0,0.014240456066710339
GaussianCopula,augmented,0.5,0.5597252849438082,0.0,0.012359409696296533
GaussianCopula,augmented,1.0,0.5709901963389038,0.0,0.012318091416260214
CTGAN,synthetic_only,0.0,0.6366003347591593,0.07692307692307693,0.039773165126003984
CTGAN,augmented,0.1,0.6172586944392784,0.0,0.017642310130010316
CTGAN,augmented,0.2,0.6556895773001408,0.0,0.019666566476769103
CTGAN,augmented,0.3,0.7019447913068891,0.0,0.03288778887337009
CTGAN,augmented,0.5,0.7011875979701905,0.0,0.03542179608842316
CTGAN,augmented,1.0,0.6896570047025692,0.0,0.027010837872857116
SMOTE,augmented,0.1,0.6487021440527112,0.0,0.021189425016898307
SMOTE,augmented,0.2,0.6831345147320598,0.04,0.022078181324067282
SMOTE,augmented,0.3,0.6834001966045856,0.05333333333333334,0.02311615897668476
SMOTE,augmented,0.5,0.6695980233268684,0.03418803418803419,0.018820831995309754
SMOTE,augmented,1.0,0.6753633199606791,0.03508771929824561,0.0190611473275229
