dataset,method,alpha,condition,mape,r2
Online Retail CLV,Baseline,0.0,real_only,3.85467278463621,-0.33514765344899455
Online Retail CLV,GaussianCopula,1.0,synthetic_only,3.667137759044363,-0.012504535022890284
Online Retail CLV,GaussianCopula,0.1,augmented,3.822727893385923,-0.27637636346377925
Online Retail CLV,GaussianCopula,0.2,augmented,3.7693119009245084,-0.20217010559514348
Online Retail CLV,GaussianCopula,0.3,augmented,3.89103585928101,-0.1850474585527715
Online Retail CLV,GaussianCopula,0.5,augmented,3.7664207861380667,-0.11764851084775896
Online Retail CLV,GaussianCopula,1.0,augmented,4.035065459815479,-0.1195338441496483
Online Retail CLV,CTGAN,1.0,synthetic_only,4.31965585618265,-0.057447211505838425
Online Retail CLV,CTGAN,0.1,augmented,4.09652085772381,-0.34127378345000725
Online Retail CLV,CTGAN,0.2,augmented,4.244965167978542,-0.6388026744880577
Online Retail CLV,CTGAN,0.3,augmented,3.540738378676133,-0.12763283488979216
Online Retail CLV,CTGAN,0.5,augmented,3.712571062108217,-0.27215186828788474
Online Retail CLV,CTGAN,1.0,augmented,5.074662070173045,-0.24764542960992264
