dataset,method,alpha,condition,auc_roc,f1_minority,avg_precision
Telco Churn,Baseline,0.0,real_only,0.8370006367415398,0.5706051873198847,0.6498548748471086
Telco Churn,GaussianCopula,1.0,synthetic_only,0.8025544724622226,0.38733705772811916,0.5850741934796858
Telco Churn,GaussianCopula,0.1,augmented,0.8372555921955159,0.557037037037037,0.6505679734288501
Telco Churn,GaussianCopula,0.2,augmented,0.839365122093896,0.5838150289017341,0.6568728160421944
Telco Churn,GaussianCopula,0.3,augmented,0.8390014546696969,0.5789473684210527,0.6562554117789325
Telco Churn,GaussianCopula,0.5,augmented,0.8351305320156752,0.583941605839416,0.6480018193545647
Telco Churn,GaussianCopula,1.0,augmented,0.8380515191203648,0.5701492537313433,0.6566240493765151
Telco Churn,CTGAN,1.0,synthetic_only,0.7512010084329427,0.4220472440944882,0.47537533198487547
Telco Churn,CTGAN,0.1,augmented,0.8347047434656341,0.5841726618705037,0.6507868982365881
Telco Churn,CTGAN,0.2,augmented,0.8357659793654327,0.5705882352941176,0.6414654962992317
Telco Churn,CTGAN,0.3,augmented,0.8312686686925055,0.5759768451519537,0.6436480085453613
Telco Churn,CTGAN,0.5,augmented,0.8344083739277635,0.561046511627907,0.6466551595752942
Telco Churn,CTGAN,1.0,augmented,0.8331724223615345,0.5722543352601156,0.6431967368117136
Telco Churn,SMOTE,0.1,augmented,0.830954180492931,0.5791610284167794,0.6400738435375096
Telco Churn,SMOTE,0.2,augmented,0.8268464210466374,0.583547557840617,0.6370670617568509
Telco Churn,SMOTE,0.3,augmented,0.823542353665923,0.5786802030456852,0.6274866684008614
Telco Churn,SMOTE,0.5,augmented,0.8195653074219215,0.58679706601467,0.6212308470114791
Telco Churn,SMOTE,1.0,augmented,0.8116590999684218,0.5834305717619603,0.6071297133345024
