n,seed,method,auc,error,model
50,7,Baseline,0.7440384391036858,,—
50,7,ModernLLM,0.653441045896423,,mistralai/Mistral-7B-v0.1
50,2024,Baseline,0.7566685768275689,,—
50,2024,ModernLLM,0.7614305182176789,,mistralai/Mistral-7B-v0.1
50,999,Baseline,0.7661450260820293,,—
50,999,ModernLLM,0.7420180273037629,,mistralai/Mistral-7B-v0.1
200,42,Baseline,0.7954563810271025,,—
200,42,ModernLLM,0.7484266812300412,,mistralai/Mistral-7B-v0.1
200,123,Baseline,0.8016336362669045,,—
200,123,ModernLLM,0.78745037107119,,mistralai/Mistral-7B-v0.1
200,7,Baseline,0.8096883617357593,,—
200,7,ModernLLM,0.8081557460588509,,mistralai/Mistral-7B-v0.1
100,42,Baseline,0.7883221223554209,,—
100,42,ModernLLM,0.7209248511933378,,mistralai/Mistral-7B-v0.1
200,2024,Baseline,0.8017932436711497,,—
200,2024,ModernLLM,0.782305115513455,,mistralai/Mistral-7B-v0.1
500,2024,Baseline,0.8288508651490503,,—
500,2024,ModernLLM,0.8205000006409937,,mistralai/Mistral-7B-v0.1
50,42,Baseline,0.7592242182762657,,—
50,42,ModernLLM,0.7550077624323912,,mistralai/Mistral-7B-v0.1
50,123,Baseline,0.6585606617105042,,—
50,123,ModernLLM,0.537682731248053,,mistralai/Mistral-7B-v0.1
100,123,Baseline,0.7912726158563866,,—
100,123,ModernLLM,0.7882400751757285,,mistralai/Mistral-7B-v0.1
500,999,Baseline,0.8197090145492725,,—
500,999,ModernLLM,0.7813654189085417,,mistralai/Mistral-7B-v0.1
100,2024,Baseline,0.7905066285147281,,—
100,2024,ModernLLM,0.7693794797439615,,mistralai/Mistral-7B-v0.1
100,7,Baseline,0.7929936836491509,,—
100,7,ModernLLM,0.7710486270558267,,mistralai/Mistral-7B-v0.1
100,999,Baseline,0.7824339552253157,,—
100,999,ModernLLM,0.788522753349512,,mistralai/Mistral-7B-v0.1
200,999,Baseline,0.8172040115942921,,—
200,999,ModernLLM,0.7580601739143812,,mistralai/Mistral-7B-v0.1
500,123,Baseline,0.8259381902699737,,—
500,123,ModernLLM,0.8008766228355247,,mistralai/Mistral-7B-v0.1
500,42,Baseline,0.8201493771465272,,—
500,42,ModernLLM,0.8044790068188897,,mistralai/Mistral-7B-v0.1
1000,42,Baseline,0.831991733746646,,—
1000,42,ModernLLM,0.8274349103057668,,mistralai/Mistral-7B-v0.1
500,7,Baseline,0.8187481651558449,,—
500,7,ModernLLM,0.806535314259928,,mistralai/Mistral-7B-v0.1
1000,123,Baseline,0.8353454122165688,,—
1000,123,ModernLLM,0.814614397485254,,mistralai/Mistral-7B-v0.1
