dataset,n,n_seeds,baseline_mean,baseline_ci95_indep,great_mean,great_ci95_indep,delta_mean,delta_ci95_paired,delta_sd,cohen_dz,wins,t_stat,p_paired,p_fdr_bh,p_bonferroni,fdr_reject_q0.10,p_tost_equiv_0.5pts,jack_delta_min,jack_delta_max,jack_sign_stable
German Credit,50,5,0.6446,0.1153,0.6375,0.0765,-0.0071,0.1037,0.0836,-0.0845,2,-0.1889,0.8593,0.9921,1.0,False,0.5207,-0.0309,0.0145,False
German Credit,100,5,0.7079,0.0419,0.6377,0.0333,-0.0702,0.0387,0.0312,-2.2538,0,-5.0397,0.0073,0.0583,0.1165,True,0.9953,-0.083,-0.0639,True
German Credit,200,5,0.7587,0.0404,0.6995,0.0284,-0.0592,0.063,0.0507,-1.1668,1,-2.6091,0.0595,0.1586,0.9516,False,0.9624,-0.0781,-0.0439,True
German Credit,500,5,0.7607,0.0367,0.7307,0.019,-0.03,0.0231,0.0186,-1.6139,0,-3.6087,0.0226,0.0741,0.3613,True,0.9802,-0.0371,-0.025,True
Telco Churn,50,5,0.6705,0.0468,0.7098,0.0696,0.0393,0.0305,0.0245,1.6012,5,3.5803,0.0232,0.0741,0.3706,True,0.9823,0.0312,0.0465,True
Telco Churn,100,5,0.7468,0.0452,0.7329,0.0344,-0.0138,0.0275,0.0221,-0.6248,1,-1.3972,0.2349,0.4176,1.0,False,0.7885,-0.0214,-0.007,True
Telco Churn,200,5,0.7671,0.0208,0.7664,0.0259,-0.0007,0.0239,0.0192,-0.0344,3,-0.077,0.9423,0.9921,1.0,False,0.3203,-0.0045,0.0074,False
Telco Churn,500,5,0.7952,0.0082,0.7966,0.007,0.0015,0.0088,0.0071,0.2072,3,0.4632,0.6673,0.8897,1.0,False,0.1639,-0.0007,0.0037,False
Telco Churn,1000,5,0.8136,0.0107,0.8115,0.0095,-0.0021,0.0084,0.0068,-0.3126,1,-0.699,0.5231,0.8369,1.0,False,0.1976,-0.005,-0.0007,True
Telco Churn,2000,5,0.8245,0.0069,0.8293,0.0045,0.0048,0.0036,0.0029,1.6499,5,3.6893,0.021,0.0741,0.3365,True,0.4524,0.0036,0.0054,True
Hillstrom,50,5,0.4937,0.0058,0.5162,0.0469,0.0225,0.043,0.0346,0.6505,4,1.4546,0.2195,0.4176,1.0,False,0.8395,0.0131,0.0357,True
Hillstrom,100,5,0.4884,0.0293,0.4999,0.0525,0.0115,0.0681,0.0549,0.2095,3,0.4685,0.6638,0.8897,1.0,False,0.5978,-0.003,0.0295,False
Hillstrom,200,5,0.4928,0.0272,0.4968,0.0908,0.004,0.0753,0.0606,0.0657,3,0.1469,0.8903,0.9921,1.0,False,0.4859,-0.0112,0.022,False
Hillstrom,500,5,0.5124,0.0692,0.5122,0.0788,-0.0002,0.0599,0.0483,-0.0047,3,-0.0105,0.9921,0.9921,1.0,False,0.4179,-0.0122,0.0185,False
Hillstrom,1000,5,0.516,0.0698,0.4763,0.071,-0.0397,0.0531,0.0428,-0.9274,1,-2.0737,0.1068,0.2441,1.0,False,0.9279,-0.0544,-0.0279,True
Hillstrom,2000,5,0.5345,0.0596,0.4658,0.0461,-0.0687,0.0194,0.0156,-4.4018,0,-9.8427,0.0006,0.0096,0.0096,True,0.9996,-0.0738,-0.0635,True
